step,loss,perplexity,learning_rate
245,6.657857075333595,778.8800661849317,0.0002999995400240341
246,6.60807529091835,741.0553292916694,0.00029999951935352146
247,6.62214682996273,751.5568311572113,0.00029999949822871296
248,6.723035857081413,831.3375062294049,0.0002999994766496086
249,6.723734676837921,831.9186643418186,0.0002999994546162085
250,6.62325881421566,752.3930153443017,0.0002999994321285128
251,6.615437179803848,746.5310272933527,0.0002999994091865215
252,6.609457716345787,742.0804914638812,0.0002999993857902346
253,6.685478985309601,800.6941070546573,0.0002999993619396523
254,6.559206187725067,705.7112699201805,0.00029999933763477464
255,6.499978587031364,665.127390539923,0.00029999931287560163
256,6.6145491898059845,745.8684094505707,0.0002999992876621335
257,6.540167808532715,692.4027593792079,0.0002999992619943702
258,6.668085470795631,786.8876420329581,0.00029999923587231204
259,6.558458283543587,705.1836628348556,0.0002999992092959587
260,6.634566754102707,760.9493162273006,0.0002999991822653107
261,6.643343433737755,767.6573185281409,0.0002999991547803679
262,6.444412007927895,629.1766173136723,0.0002999991268411304
263,6.477545782923698,650.3728299059629,0.0002999990984475984
264,6.5470645278692245,697.1945717776572,0.0002999990695997718
265,6.6588820070028305,779.6787742719879,0.00029999904029765097
266,6.517628982663155,676.9713701067324,0.00029999901054123576
267,6.6027334332466125,737.1072715652315,0.0002999989803305264
268,6.634517505764961,760.9118416611553,0.000299998949665523
269,6.545729994773865,696.2647631159278,0.0002999989185462255
270,6.642251700162888,766.8196985716212,0.0002999988869726342
271,6.5205554366111755,678.955397311646,0.0002999988549447492
272,6.585577175021172,724.5691302051015,0.0002999988224625705
273,6.675447538495064,792.7021392242901,0.00029999878952609825
274,6.468468189239502,644.495724955616,0.0002999987561353326
275,6.569598957896233,713.0838091498825,0.0002999987222902736
276,6.435849413275719,623.8122322777691,0.0002999986879909214
277,6.519100695848465,677.9684112975687,0.0002999986532372761
278,6.53517584502697,688.9549229697922,0.00029999861802933777
279,6.852798894047737,946.5264298655514,0.0002999985823671067
280,6.6947809010744095,808.1768441328828,0.00029999854625058274
281,6.5731633603572845,715.630062073409,0.0002999985096797664
282,6.571694865822792,714.5799344805656,0.0002999984726546574
283,6.640584662556648,765.5424462065517,0.00029999843517525596
284,6.673092842102051,790.8377622386412,0.00029999839724156234
285,6.536770522594452,690.0544604012867,0.00029999835885357673
286,6.529074937105179,684.7644682095721,0.00029999832001129903
287,6.452918991446495,634.5518434911965,0.00029999828071472945
288,6.643408611416817,767.7073542810668,0.0002999982409638682
289,6.471002742648125,646.1313056498815,0.0002999982007587153
290,6.468866348266602,644.7523878393655,0.00029999816009927097
291,6.384711116552353,592.7134827498494,0.0002999981189855354
292,6.554382875561714,702.3155999394854,0.0002999980774175086
293,6.452376455068588,634.2076694043581,0.0002999980353951908
294,6.9995801746845245,1096.1728606958416,0.00029999799291858197
295,6.50166480243206,666.249884706784,0.00029999794998768247
296,6.859757259488106,953.1356747665284,0.0002999979066024924
297,6.493164628744125,660.6106461749658,0.00029999786276301184
298,6.661454945802689,781.6874229987535,0.00029999781846924093
299,6.520143672823906,678.6758856162082,0.0002999977737211799
300,6.451460167765617,633.6268191229443,0.0002999977285188289
301,6.489155516028404,657.9674855379938,0.0002999976828621879
302,6.196843668818474,491.19621383788973,0.0002999976367512573
303,6.4871963411569595,656.6796741099189,0.00029999759018603707
304,6.510877773165703,672.4163876845438,0.00029999754316652747
305,6.444341272115707,629.1321135686603,0.0002999974956927286
306,6.601692751049995,736.3405761630397,0.00029999744776464067
307,6.585890620946884,724.7962790444408,0.0002999973993822639
308,6.496147319674492,662.5839850247855,0.0002999973505455983
309,6.59574168920517,731.9715808301913,0.00029999730125464415
310,6.5829838663339615,722.6925331347142,0.0002999972515094015
311,6.491167768836021,659.2928154603109,0.00029999720130987056
312,6.444479316473007,629.2189677016581,0.00029999715065605163
313,6.563766598701477,708.9369529714281,0.00029999709954794485
314,6.469908177852631,645.4244599842121,0.0002999970479855502
315,6.7551929503679276,858.5053828379714,0.0002999969959688679
316,6.617049261927605,747.7354671844483,0.00029999694349789837
317,6.622070327401161,751.4993373337034,0.00029999689057264153
318,6.474698171019554,648.5234548942386,0.0002999968371930977
319,6.573705747723579,716.018316060529,0.00029999678335926696
320,6.7202975153923035,829.0641341337446,0.00029999672907114955
321,6.3377061784267426,565.4976717680987,0.0002999966743287456
322,6.559311076998711,705.7852953448531,0.0002999966191320554
323,6.284721657633781,536.314990676667,0.00029999656348107904
324,6.507157012820244,669.9191361718181,0.00029999650737581667
325,6.437834814190865,625.0519799454513,0.0002999964508162686
326,6.418430179357529,613.0399955219757,0.00029999639380243507
327,6.321028888225555,556.1449091304881,0.00029999633633431605
328,6.290814504027367,539.5926505328072,0.00029999627841191187
329,6.454376503825188,635.4773849882544,0.00029999622003522265
330,6.40410803258419,604.3225222073281,0.0002999961612042487
331,6.427704811096191,618.7521639045078,0.00029999610191899014
332,6.374563544988632,586.7292941089427,0.0002999960421794472
333,6.455723747611046,636.334104921953,0.00029999598198562016
334,6.375723242759705,587.4101174619029,0.00029999592133750906
335,6.474894970655441,648.651096633538,0.0002999958602351141
336,6.524202048778534,681.4358041167359,0.0002999957986784356
337,6.771842673420906,872.91891741411,0.0002999957366674738
338,6.663053244352341,782.9377918383868,0.0002999956742022288
339,6.431399196386337,621.042300515847,0.00029999561128270095
340,6.381307885050774,590.6997700627356,0.0002999955479088902
341,6.6469744592905045,770.4497685280724,0.000299995484080797
342,6.361712068319321,579.2372016165998,0.00029999541979842145
343,6.375139281153679,587.0671926435231,0.0002999953550617638
344,6.622960269451141,752.1684258753834,0.00029999528987082434
345,6.432066366076469,621.4567793635291,0.0002999952242256032
346,6.381076484918594,590.5630978714563,0.0002999951581261006
347,6.569064095616341,712.7025094984572,0.00029999509157231674
348,6.444514140486717,629.240880013151,0.00029999502456425206
349,6.364615097641945,580.9211873449617,0.00029999495710190645
350,6.409939810633659,607.8570934271127,0.00029999488918528035
351,6.478505149483681,650.9970752426676,0.000299994820814374
352,6.473168537020683,647.53220968303,0.00029999475198918743
353,6.372183278203011,585.3343826473266,0.00029999468270972105
354,6.433242037892342,622.1878382422632,0.00029999461297597514
355,6.413330852985382,609.9218614540395,0.00029999454278794983
356,6.290890917181969,539.6338840848073,0.0002999944721456453
357,6.509162560105324,671.2640388587657,0.00029999440104906195
358,6.613486602902412,745.0762803744236,0.0002999943294981999
359,6.347279503941536,570.9373614730002,0.00029999425749305947
360,6.336520254611969,564.8274321170848,0.0002999941850336408
361,6.412370219826698,609.3362316224737,0.00029999411211994423
